Lat,Lon,Elev,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Clust
43.05,-114.15,1305,0.097,0.239,0.93,0.694,0.284,0.196,0.085,0.091,0.162,0.353,0.944,0.894,2
45.4167,-116.3167,549,1,1,0.987,0.718,0.845,0.486,0.202,0.204,0.42,0.907,1,1,8
42.6,-113.75,1280,0.002,0.66,1,0.521,0.239,0.162,0.077,0.074,0.135,0.306,0.857,0.675,2
43.9667,-111.7167,1509,0.007,0.003,0.378,0.812,0.59,0.382,0.186,0.187,0.293,0.593,0.954,0.043,6
47.3167,-116.5833,707,1,0.916,0.521,0.749,0.759,0.443,0.214,0.242,0.445,0.936,0.904,1,8
45.1833,-113.9,1198,0,0.043,0.935,0.75,0.328,0.281,0.161,0.17,0.242,0.41,0.792,0.02,5
48.3,-116.55,640,1,1,0.792,0.52,0.661,0.566,0.286,0.329,0.613,0.997,0.856,1,8
42.9333,-114.4167,1204,0.215,0.508,0.932,0.838,0.349,0.196,0.078,0.079,0.149,0.344,0.943,1,2
45.3833,-114.2833,1036,0.196,0.296,0.867,0.652,0.431,0.305,0.152,0.166,0.28,0.603,1,1,2
43.0167,-116.8167,1877,0.005,0.001,0.555,0.965,0.791,0.352,0.154,0.153,0.285,0.649,1,0.569,2
42.65,-111.5833,1781,0.012,0.006,0.141,0.92,0.759,0.417,0.231,0.246,0.392,0.663,0.803,0.022,6
44.2167,-114.9333,1911,0.13,0.068,0.174,0.939,0.741,0.718,0.291,0.272,0.425,0.802,1,0.614,6
43.25,-116.3833,709,1,1,0.733,0.252,0.177,0.118,0.044,0.048,0.114,0.271,0.876,1,4
43.45,-111.3,1634,0.11,0.059,0.154,0.928,0.798,0.48,0.266,0.266,0.405,0.693,0.845,0.091,6
45.1,-114.85,1169,0.831,0.114,0.865,0.481,0.439,0.325,0.151,0.17,0.335,0.755,1,1,2
43.85,-111.2833,1881,0,0,0.021,0.869,0.607,0.453,0.249,0.277,0.45,0.8,0.838,0.007,9
42.5833,-114.4667,1119,0.049,0.817,0.999,0.365,0.213,0.154,0.067,0.081,0.151,0.333,0.882,0.956,2
42.55,-114.35,1207,0.03,0.73,1,0.457,0.238,0.16,0.073,0.089,0.163,0.341,0.894,0.918,2
47.4833,-115.9167,896,1,1,0.853,0.569,0.552,0.51,0.224,0.268,0.571,0.994,0.809,1,8
45.2667,-115.6833,1800,1,0.381,0.439,0.948,0.841,0.734,0.296,0.286,0.523,0.951,1,1,2
44.25,-116.9667,646,1,0.928,0.953,0.407,0.21,0.147,0.055,0.072,0.141,0.418,0.991,1,4
46.2333,-116.6167,1204,1,1,0.974,0.633,0.799,0.572,0.249,0.256,0.487,0.95,1,1,8
44.85,-115.5167,1554,0.983,0.22,0.433,0.659,0.523,0.536,0.215,0.215,0.424,0.881,1,1,2
38.9167,-97.2333,357,0.424,0.835,0.999,0.739,0.802,0.767,0.628,0.597,0.805,0.972,1,1,8
37.0667,-98.9667,479,0.663,0.67,0.653,0.569,0.69,0.623,0.453,0.499,0.611,0.735,0.926,0.947,10
39.4333,-98.85,494,0,0.498,1,0.708,0.708,0.591,0.53,0.548,0.66,0.717,0.866,0.48,11
37.15,-98.0333,408,1,0.727,0.729,0.673,0.746,0.668,0.51,0.491,0.636,0.79,0.994,1,8
37.2,-99.7667,600,0.495,0.468,0.523,0.459,0.617,0.544,0.425,0.443,0.54,0.584,0.687,0.707,10
39.5667,-95.1167,288,1,1,0.985,1,1,0.97,0.728,0.776,0.986,1,1,1,12
39.7833,-101.0833,872,0,0.723,0.776,0.525,0.67,0.568,0.498,0.449,0.445,0.498,0.668,0.376,5
39.8333,-97.6333,469,0.006,0.322,0.949,0.883,0.82,0.709,0.601,0.624,0.784,0.864,0.986,0.662,11
39.4833,-98.1,446,0,0.507,1,0.749,0.743,0.639,0.566,0.564,0.678,0.755,0.91,0.574,11
37.5333,-101.5667,966,0.307,0.294,0.351,0.364,0.477,0.433,0.383,0.384,0.416,0.358,0.453,0.384,3
38.5667,-99.2333,622,0.002,0.753,0.771,0.537,0.579,0.552,0.507,0.502,0.569,0.625,0.775,0.589,5
39.3667,-101.45,1048,0.002,0.75,0.646,0.465,0.647,0.555,0.467,0.403,0.418,0.456,0.62,0.354,5
38.05,-96.6333,445,1,1,1,1,0.9,0.884,0.651,0.642,0.898,1,1,1,12
38.8667,-99.7,680,0,0.697,0.847,0.533,0.604,0.514,0.481,0.484,0.525,0.559,0.736,0.445,5
39.7167,-96.1167,402,0.98,0.664,0.993,0.997,0.908,0.839,0.656,0.715,0.947,1,1,1,12
37.6667,-95.4833,298,1,1,1,1,1,1,0.802,0.727,0.949,1,1,1,12
37.75,-100.35,811,0.333,0.535,0.509,0.476,0.55,0.493,0.45,0.43,0.42,0.447,0.565,0.587,10
39.4,-97.1333,372,0.404,0.58,0.949,0.869,0.867,0.792,0.664,0.656,0.876,0.998,1,1,8
38.9333,-95.3333,298,1,1,1,1,1,1,0.763,0.7,0.947,1,1,1,12
39.4,-101.0667,966,0,0.734,0.754,0.496,0.66,0.557,0.491,0.438,0.455,0.487,0.648,0.376,5
37.2667,-99.3333,635,0.577,0.571,0.552,0.48,0.612,0.592,0.447,0.502,0.57,0.657,0.794,0.806,10
37.1667,-94.85,274,1,1,1,1,1,1,0.809,0.738,0.987,1,1,1,12
39.55,-97.65,448,0.001,0.481,1,0.807,0.753,0.684,0.586,0.581,0.709,0.8,0.935,0.633,11
38.3667,-96.55,378,1,1,1,1,0.939,0.896,0.676,0.655,0.92,1,1,1,12
38.6833,-96.5333,402,1,1,1,1,0.988,0.89,0.664,0.652,0.928,1,1,1,12
37.7667,-99.9667,787,0.334,0.59,0.542,0.492,0.545,0.495,0.45,0.446,0.462,0.492,0.604,0.656,10
37.8167,-96.85,408,1,1,1,0.972,0.851,0.839,0.618,0.628,0.877,1,1,1,12
37,-101.8833,1097,0.359,0.338,0.383,0.374,0.449,0.4,0.387,0.388,0.419,0.351,0.476,0.43,3
38.7333,-98.2333,466,0.026,0.86,0.988,0.68,0.754,0.655,0.534,0.567,0.737,0.877,0.979,0.868,8
38.4333,-96.2,372,0.997,0.912,1,0.963,0.84,0.888,0.678,0.651,0.907,1,1,1,12
38.8667,-96.1,431,0.984,0.705,0.967,1,0.979,0.867,0.628,0.672,0.925,1,1,1,12
37.8167,-96.2833,329,1,1,1,1,1,1,0.783,0.667,0.932,1,1,1,12
37.65,-96.0833,311,1,1,1,1,1,1,0.884,0.71,0.955,1,1,1,12
38.25,-96.9333,394,0.976,0.985,0.949,0.734,0.801,0.821,0.62,0.61,0.848,0.993,1,1,8
37.85,-94.7167,258,1,0.975,0.983,1,1,1,0.856,0.735,0.977,1,1,1,12
37.5167,-95.8167,265,1,1,1,1,1,1,0.892,0.75,0.973,1,1,1,12
37.9333,-100.7167,878,0.141,0.628,0.457,0.443,0.536,0.49,0.444,0.415,0.383,0.4,0.538,0.535,5
38,-100.8167,874,0.107,0.638,0.446,0.438,0.537,0.491,0.441,0.413,0.397,0.398,0.539,0.532,5
38.2833,-95.2333,299,1,1,0.997,1,1,1,0.867,0.745,0.967,1,1,1,12
37.5,-94.8333,300,1,0.994,1,1,1,1,0.839,0.738,0.982,1,1,1,12
39.5,-98.3167,457,0,0.504,1,0.753,0.741,0.633,0.562,0.571,0.696,0.764,0.911,0.55,11
39.3667,-101.7,1111,0.001,0.719,0.582,0.436,0.63,0.539,0.444,0.387,0.394,0.425,0.587,0.322,5
38.3667,-98.7667,567,0.039,0.893,0.774,0.591,0.646,0.603,0.51,0.535,0.644,0.72,0.864,0.777,5
37.6167,-99.3,680,0.442,0.625,0.562,0.485,0.585,0.578,0.46,0.501,0.562,0.648,0.798,0.829,10
38.8667,-99.3333,613,0.001,0.601,0.857,0.548,0.578,0.541,0.506,0.49,0.555,0.607,0.756,0.491,5
38.6,-100.6167,869,0.003,0.782,0.736,0.489,0.596,0.512,0.466,0.442,0.462,0.487,0.693,0.514,5
38.6667,-96.95,411,0.959,0.939,1,0.832,0.833,0.84,0.65,0.624,0.881,1,1,1,12
39.3667,-99.8333,654,0,0.493,0.994,0.623,0.675,0.545,0.489,0.497,0.556,0.614,0.811,0.456,11
38.6667,-94.9,308,1,1,0.996,1,1,1,0.889,0.75,0.98,1,1,1,12
39.4667,-95.7333,318,1,1,0.944,1,0.979,0.918,0.696,0.745,0.97,1,1,1,12
39.6667,-95.5167,314,1,1,0.96,0.994,0.932,0.881,0.692,0.755,0.976,1,1,1,12
37.5167,-96.2,335,1,1,1,1,1,1,0.727,0.638,0.922,1,1,1,12
39.3667,-100.45,825,0,0.627,0.945,0.563,0.687,0.568,0.513,0.486,0.516,0.546,0.726,0.406,5
38.1,-98.6667,569,0.114,0.92,0.675,0.577,0.639,0.612,0.49,0.523,0.632,0.716,0.87,0.859,5
37.1667,-101.3333,948,0.354,0.338,0.38,0.365,0.487,0.431,0.392,0.392,0.418,0.369,0.481,0.404,3
37.9333,-98.0333,479,0.367,0.926,0.752,0.638,0.705,0.665,0.504,0.523,0.694,0.806,0.975,1,8
37.2333,-95.7,245,1,1,1,1,0.986,1,0.758,0.709,0.975,1,1,1,12
37.9167,-95.4333,291,1,1,0.996,1,1,1,0.747,0.729,0.949,1,1,1,12
38.1833,-99.9167,741,0.144,0.67,0.503,0.432,0.537,0.475,0.444,0.438,0.416,0.473,0.577,0.602,5
38.25,-95.75,333,0.046,0.286,0.121,0.094,0.085,0.077,0.063,0.07,0.098,0.138,0.213,0.267,1
38.6,-97.9667,455,0.125,0.926,0.87,0.671,0.753,0.675,0.533,0.553,0.71,0.853,0.984,0.975,8
37.6667,-98.1167,479,0.511,0.875,0.741,0.639,0.708,0.665,0.502,0.516,0.675,0.802,0.981,1,8
37.9167,-99.4,660,0.204,0.738,0.556,0.486,0.56,0.554,0.467,0.491,0.538,0.597,0.733,0.765,5
39.6667,-99.1167,517,0,0.42,1,0.701,0.716,0.589,0.518,0.541,0.647,0.698,0.849,0.419,11
37.9333,-101.25,914,0.274,0.29,0.342,0.383,0.507,0.456,0.398,0.404,0.43,0.364,0.466,0.392,3
38.1833,-99.1,608,0.051,0.892,0.615,0.518,0.576,0.583,0.493,0.513,0.591,0.641,0.803,0.76,5
38.9667,-95.2667,299,1,1,1,1,1,1,0.828,0.717,0.958,1,1,1,12
39.2667,-94.9167,265,1,1,0.98,1,1,1,0.992,0.868,0.998,1,1,1,12
38.4667,-101.35,1008,0.014,0.759,0.431,0.416,0.557,0.503,0.43,0.412,0.449,0.417,0.546,0.361,5
37.0167,-100.9333,864,0.43,0.424,0.446,0.389,0.53,0.461,0.422,0.405,0.439,0.422,0.553,0.523,10
39.0333,-98.1167,421,0.008,0.754,1,0.746,0.772,0.662,0.569,0.584,0.738,0.877,0.992,0.84,8
39.9,-98.0333,488,0.003,0.309,0.98,0.835,0.81,0.689,0.591,0.599,0.744,0.806,0.96,0.547,11
39.2167,-96.6,325,1,0.997,1,1,0.969,0.868,0.659,0.637,0.917,1,1,1,12
39.7833,-98.2167,535,0,0.344,1,0.841,0.755,0.648,0.575,0.576,0.703,0.76,0.923,0.49,11
38.3833,-97.0833,417,0.883,0.952,0.968,0.74,0.799,0.808,0.619,0.604,0.84,0.989,1,1,8
39.8333,-96.6333,360,0.974,0.565,0.985,1,0.981,0.805,0.673,0.735,0.949,1,1,1,12
39.7833,-101.3667,1025,0,0.737,0.687,0.487,0.634,0.531,0.467,0.412,0.401,0.463,0.637,0.35,5
38.3833,-97.6667,456,0.422,0.958,0.843,0.696,0.768,0.733,0.554,0.565,0.761,0.897,0.998,1,8
37.2833,-100.35,755,0.442,0.446,0.495,0.439,0.567,0.5,0.437,0.424,0.441,0.457,0.605,0.605,10
37.2833,-98.5667,457,0.553,0.75,0.698,0.606,0.713,0.637,0.472,0.5,0.619,0.773,0.969,0.97,8
38.5,-95.7,333,1,1,1,1,1,0.977,0.679,0.679,0.92,1,1,1,12
39.0667,-96.9,369,0.528,0.772,1,0.77,0.815,0.815,0.659,0.614,0.871,1,1,1,8
39.1333,-97.7,399,0.012,0.733,0.999,0.65,0.768,0.667,0.599,0.572,0.705,0.849,0.986,0.872,8
38.15,-94.8167,256,1,0.974,0.998,1,1,1,0.818,0.732,0.975,1,1,1,12
37.1833,-95.45,244,1,1,1,1,0.985,1,0.746,0.715,0.976,1,1,1,12
38.45,-99.9167,686,0.04,0.859,0.583,0.474,0.587,0.507,0.47,0.463,0.47,0.523,0.668,0.64,5
38.05,-97.3667,441,0.726,0.972,0.87,0.684,0.746,0.736,0.552,0.563,0.794,0.931,1,1,8
39.8167,-99.9333,713,0,0.461,0.996,0.613,0.688,0.575,0.498,0.486,0.522,0.6,0.77,0.39,11
39.7333,-99.8333,719,0,0.406,0.987,0.595,0.673,0.551,0.48,0.476,0.518,0.585,0.756,0.375,11
37.4667,-97.85,454,0.708,0.716,0.708,0.624,0.701,0.65,0.503,0.495,0.658,0.787,0.979,1,8
39.1167,-100.95,945,0,0.73,0.772,0.496,0.641,0.549,0.487,0.44,0.465,0.484,0.677,0.411,5
39.8333,-100.5333,794,0,0.622,0.937,0.565,0.701,0.594,0.534,0.491,0.499,0.535,0.676,0.363,5
38.8833,-94.7667,322,1,1,1,1,1,1,0.939,0.764,0.985,1,1,1,12
39.25,-95.2667,280,1,1,0.984,1,1,1,0.966,0.838,0.995,1,1,1,12
38.6167,-95.2833,274,1,1,0.997,1,1,1,0.895,0.759,0.976,1,1,1,12
38.5833,-94.8833,262,1,1,0.985,1,1,1,0.84,0.737,0.98,1,1,1,12
37.3667,-95.2833,277,1,1,1,1,1,1,0.867,0.754,0.979,1,1,1,12
39.1167,-95.4167,293,1,1,0.995,1,1,0.998,0.724,0.719,0.952,1,1,1,12
39.7333,-99.3167,581,0,0.392,0.999,0.659,0.705,0.578,0.499,0.518,0.591,0.643,0.788,0.362,11
39.25,-99.3833,635,0,0.489,0.979,0.603,0.636,0.542,0.496,0.503,0.573,0.626,0.782,0.439,11
38.65,-95.5667,324,1,1,1,1,1,1,0.731,0.687,0.928,1,1,1,12
37.6833,-98.8,591,0.33,0.809,0.635,0.552,0.638,0.619,0.474,0.518,0.614,0.726,0.893,0.91,8
39.0667,-100.2333,816,0,0.681,0.889,0.533,0.649,0.526,0.488,0.476,0.501,0.531,0.725,0.449,5
37.3,-101.7667,1039,0.335,0.318,0.371,0.361,0.455,0.414,0.38,0.38,0.413,0.346,0.462,0.413,3
38.8833,-98.8167,566,0.001,0.752,0.915,0.626,0.68,0.565,0.515,0.538,0.627,0.674,0.806,0.574,5
38.9167,-101.1667,887,0.006,0.813,0.628,0.463,0.616,0.534,0.463,0.421,0.455,0.462,0.635,0.399,5
39.7667,-101.8167,1025,0.003,0.795,0.577,0.459,0.588,0.478,0.424,0.389,0.359,0.445,0.589,0.339,5
38.8167,-97.6667,385,0.426,0.895,0.988,0.73,0.792,0.711,0.586,0.581,0.717,0.9,1,1,8
38.4833,-100.9167,905,0.005,0.788,0.697,0.477,0.575,0.509,0.459,0.428,0.465,0.469,0.682,0.454,5
37.1333,-96.1833,268,1,1,1,1,1,1,0.804,0.673,0.962,1,1,1,12
38.9,-101.75,1052,0.005,0.746,0.432,0.392,0.584,0.508,0.418,0.388,0.422,0.408,0.523,0.299,5
39.7833,-98.7833,543,0,0.373,1,0.718,0.718,0.603,0.542,0.553,0.672,0.704,0.853,0.388,11
38.2167,-98.2,499,0.196,0.955,0.767,0.64,0.709,0.657,0.509,0.536,0.7,0.813,0.962,0.975,8
37.4833,-100.8333,890,0.396,0.395,0.441,0.416,0.528,0.471,0.432,0.41,0.419,0.406,0.534,0.516,10
37.9833,-101.75,994,0.058,0.507,0.344,0.354,0.492,0.467,0.378,0.387,0.426,0.38,0.463,0.364,5
39.0667,-95.6333,269,1,1,0.994,1,1,0.957,0.672,0.695,0.925,1,1,1,12
37.75,-95.9333,290,1,1,1,1,1,1,0.736,0.671,0.927,1,1,1,12
38.4667,-101.7833,1108,0.013,0.646,0.376,0.361,0.537,0.486,0.398,0.39,0.431,0.399,0.474,0.268,5
39.8333,-95.0833,317,1,1,0.96,0.988,0.924,0.819,0.676,0.784,0.983,1,1,1,12
39.25,-96.6,322,1,0.975,1,1,0.956,0.855,0.655,0.635,0.91,1,1,1,12
37.5833,-101.35,930,0.318,0.317,0.367,0.375,0.49,0.444,0.393,0.395,0.425,0.361,0.474,0.419,3
39.0333,-99.8833,750,0.001,0.639,0.906,0.548,0.643,0.511,0.474,0.487,0.525,0.549,0.765,0.511,5
39.2167,-96.3333,308,1,1,0.984,1,1,0.96,0.667,0.681,0.946,1,1,1,12
39.8167,-97.05,397,0.418,0.338,0.966,0.99,0.884,0.773,0.654,0.713,0.924,1,1,1,11
39.4,-99.4167,568,0,0.467,0.991,0.627,0.666,0.552,0.492,0.506,0.584,0.643,0.796,0.414,11
37.2667,-97.4167,372,1,0.958,0.726,0.679,0.746,0.682,0.546,0.546,0.774,0.947,1,1,8
37.65,-97.4333,403,0.936,0.979,0.793,0.655,0.71,0.68,0.526,0.533,0.785,0.935,1,1,8
37.1333,-99.05,518,0.662,0.65,0.628,0.551,0.675,0.62,0.455,0.509,0.609,0.732,0.912,0.939,10
38.9667,-98.4833,461,0.002,0.754,1,0.74,0.745,0.626,0.545,0.573,0.719,0.818,0.934,0.698,8
37.2333,-96.9667,354,1,1,1,1,0.935,0.784,0.584,0.602,0.893,1,1,1,12
39.0667,-101.25,1013,0.001,0.757,0.655,0.463,0.626,0.538,0.46,0.413,0.437,0.45,0.618,0.343,5
45.2167,-104.2667,1009,0,0,0.586,0.86,0.58,0.509,0.32,0.263,0.395,0.595,0.721,0.019,6
45.0667,-112.05,1783,0.092,0.046,0.099,0.943,0.785,0.671,0.404,0.381,0.511,0.773,0.874,0.145,9
46.1333,-112.95,1609,0.01,0.005,0.481,0.956,0.702,0.497,0.278,0.28,0.411,0.617,0.797,0.024,6
47.5,-112.4,1240,0,0.017,0.802,0.871,0.569,0.497,0.288,0.307,0.426,0.509,0.826,0.05,6
46.6333,-112.2667,1460,0.007,0.003,0.434,0.934,0.714,0.51,0.301,0.311,0.442,0.582,0.716,0.017,6
48.9333,-113.3667,1311,0.23,0.113,0.217,0.945,0.93,0.986,0.537,0.505,0.77,0.902,1,0.447,9
45.95,-108.15,914,0,0.02,0.902,0.885,0.566,0.422,0.208,0.236,0.46,0.65,0.947,0.158,6
46.3167,-109.3667,1137,0,0.004,0.795,1,0.813,0.526,0.28,0.279,0.454,0.716,0.993,0.271,6
45.8,-111.15,1349,0.109,0.053,0.562,0.917,0.965,0.653,0.356,0.359,0.595,0.9,1,0.615,11
45.0333,-105.4833,1096,0,0,0.701,0.894,0.638,0.543,0.286,0.247,0.393,0.613,0.799,0.016,6
47.8833,-114.0333,887,0.342,0.062,0.921,0.763,0.76,0.592,0.322,0.334,0.528,0.823,1,1,2
48.1333,-110.0667,844,0,0,0.422,0.937,0.493,0.436,0.281,0.282,0.388,0.507,0.565,0.002,6
45.2833,-111.3167,2009,0.198,0.101,0.052,0.704,0.595,0.702,0.536,0.5,0.702,0.963,0.994,0.38,9
45.8333,-109.95,1250,0,0.042,0.866,0.97,0.672,0.505,0.27,0.261,0.446,0.738,0.998,0.414,2
45.7667,-108.4833,944,0,0.087,0.96,0.93,0.566,0.386,0.189,0.206,0.404,0.647,0.968,0.378,2
45.8,-108.55,1087,0.01,0.052,0.924,0.893,0.679,0.44,0.22,0.227,0.419,0.679,0.989,0.523,2
45.3167,-106.5167,963,0,0,0.718,0.933,0.588,0.512,0.259,0.221,0.425,0.663,0.858,0.03,6
48.0167,-112.4333,1291,0,0,0.458,0.98,0.576,0.522,0.316,0.324,0.415,0.483,0.616,0.003,6
47.5333,-104.8667,817,0,0,0.367,0.858,0.475,0.508,0.354,0.311,0.428,0.538,0.497,0.005,6
46.2333,-112.1167,1495,0.004,0.002,0.32,0.932,0.799,0.528,0.308,0.311,0.45,0.615,0.637,0.008,6
45.6667,-111.05,1497,0.189,0.084,0.454,0.918,1,0.935,0.444,0.412,0.664,0.951,1,0.923,11
45.6833,-111.15,1455,0.174,0.08,0.5,0.914,1,0.839,0.402,0.391,0.644,0.943,1,0.888,11
45.8167,-110.8833,1813,0.101,0.051,0.302,0.878,0.937,0.777,0.423,0.408,0.639,0.925,1,0.725,11
45.8167,-106.2333,844,0,0,0.708,0.881,0.539,0.496,0.264,0.225,0.397,0.62,0.802,0.024,6
48.55,-105.2667,819,0,0,0.186,0.966,0.796,0.531,0.354,0.318,0.421,0.511,0.4,0,9
45.3333,-108.9167,1106,0,0.025,0.892,0.953,0.53,0.355,0.169,0.182,0.38,0.607,0.929,0.136,6
45.45,-105.4167,924,0,0,0.697,0.903,0.565,0.524,0.284,0.241,0.401,0.611,0.76,0.009,6
46.1,-108.8833,1183,0.01,0.033,0.903,0.984,0.783,0.51,0.256,0.259,0.455,0.717,0.996,0.461,2
47.2833,-105.8333,802,0,0,0.503,0.797,0.458,0.45,0.308,0.265,0.369,0.497,0.503,0.001,6
45.5333,-106.9667,1045,0.008,0.004,0.718,0.819,0.66,0.522,0.258,0.236,0.467,0.712,0.899,0.049,6
45.95,-112.5,1689,0.009,0.004,0.189,0.916,0.775,0.518,0.301,0.301,0.438,0.593,0.563,0.015,6
46.65,-111.7333,1119,0,0,0.688,0.836,0.482,0.412,0.252,0.264,0.371,0.507,0.692,0.008,6
46.75,-104.2833,923,0,0,0.386,0.991,0.54,0.505,0.329,0.301,0.459,0.604,0.512,0,9
47.8,-111.2167,1052,0,0,0.532,0.997,0.697,0.517,0.281,0.285,0.366,0.495,0.841,0.046,6
47.2167,-111.7167,1024,0,0.004,0.817,0.884,0.57,0.456,0.273,0.285,0.41,0.539,0.849,0.061,6
47,-111.5833,1402,0.009,0.004,0.512,0.987,0.722,0.526,0.312,0.316,0.443,0.591,0.782,0.019,6
48.5167,-110.9667,965,0.013,0.005,0.392,0.939,0.698,0.545,0.303,0.311,0.431,0.511,0.627,0.022,6
48.5833,-109.2333,715,0,0,0.38,0.948,0.452,0.391,0.28,0.267,0.428,0.512,0.471,0.001,6
47.8167,-112.2,1172,0,0,0.632,0.615,0.498,0.457,0.281,0.292,0.382,0.412,0.575,0.01,6
47.4167,-105.5833,744,0,0,0.488,0.785,0.452,0.456,0.309,0.267,0.371,0.482,0.444,0.001,6
48.3167,-109.0667,1016,0.003,0.002,0.38,0.8,0.587,0.46,0.316,0.29,0.438,0.534,0.509,0.007,6
47.05,-106.6167,827,0,0,0.597,0.826,0.491,0.439,0.292,0.249,0.379,0.531,0.564,0.002,6
45.9,-106.6333,981,0.005,0.002,0.693,0.806,0.628,0.516,0.268,0.24,0.439,0.668,0.867,0.037,6
45.6333,-109.2667,1093,0.014,0.081,0.936,0.933,0.788,0.504,0.248,0.236,0.46,0.758,0.999,0.644,2
48.1833,-111.9667,1082,0,0,0.486,0.769,0.501,0.488,0.296,0.307,0.383,0.417,0.5,0.004,6
47.9833,-107.55,713,0,0,0.433,0.804,0.469,0.448,0.307,0.275,0.375,0.513,0.478,0.001,6
45.0167,-109.9667,2274,0.016,0.007,0.025,0.89,0.677,0.61,0.362,0.352,0.572,0.853,0.882,0.172,9
48.1833,-114.1333,896,0.887,0.154,0.862,0.884,0.791,0.582,0.321,0.341,0.542,0.856,1,1,2
45.6,-107.45,923,0,0,0.805,1,0.695,0.412,0.194,0.22,0.472,0.738,0.963,0.042,6
48.15,-104.5167,585,0,0,0.272,0.966,0.503,0.507,0.357,0.326,0.486,0.613,0.446,0,9
48.6167,-112.3833,1170,0,0,0.286,0.994,0.575,0.543,0.339,0.355,0.417,0.431,0.438,0.001,6
46.0167,-114.1833,1183,0.031,0.127,0.976,0.965,0.763,0.403,0.199,0.223,0.359,0.677,1,0.84,2
46.3833,-112.8,1478,0.01,0.004,0.409,0.926,0.674,0.507,0.291,0.298,0.429,0.593,0.692,0.018,6
49,-112.7833,1322,0.149,0.071,0.222,0.842,0.999,0.773,0.416,0.447,0.614,0.725,0.779,0.228,9
47.3167,-109.9333,1100,0,0,0.41,1,0.749,0.554,0.329,0.334,0.447,0.593,0.709,0.004,6
45.25,-112.55,1590,0,0,0.52,0.701,0.444,0.402,0.232,0.236,0.333,0.436,0.608,0.007,6
45.2167,-112.65,1593,0,0,0.608,0.723,0.441,0.39,0.23,0.235,0.331,0.433,0.608,0.007,6
45.75,-112.75,1631,0,0,0.167,0.284,0.071,0.064,0.047,0.052,0.08,0.13,0.136,0,1
46.6333,-113.1833,1219,0,0,0.692,0.998,0.575,0.441,0.25,0.285,0.411,0.583,0.813,0.01,6
48.45,-113.2167,1465,0.186,0.091,0.252,0.967,0.941,0.836,0.466,0.463,0.664,0.882,1,0.463,9
45.8833,-104.55,1044,0.011,0.005,0.467,0.819,0.712,0.641,0.367,0.285,0.475,0.707,0.786,0.033,6
45.35,-111.7167,1510,0.015,0.007,0.389,0.979,0.88,0.576,0.33,0.322,0.481,0.708,0.938,0.054,6
48.9,-115.0667,772,0.964,0.302,0.938,0.912,0.829,0.587,0.36,0.361,0.523,0.836,1,1,2
47.6167,-111.9833,1214,0,0,0.726,0.769,0.53,0.451,0.273,0.29,0.399,0.474,0.732,0.032,6
46.85,-108.3167,956,0,0,0.722,0.786,0.588,0.46,0.263,0.254,0.366,0.533,0.706,0.026,6
48.7833,-107.45,792,0,0,0.135,0.974,0.544,0.487,0.358,0.293,0.392,0.499,0.334,0,9
46.2667,-106.6833,767,0,0,0.715,0.853,0.529,0.463,0.258,0.231,0.403,0.615,0.781,0.021,6
48.5,-109.8,796,0,0,0.372,0.937,0.429,0.382,0.268,0.264,0.383,0.482,0.455,0.001,6
47.8167,-110.6667,803,0,0,0.511,0.9,0.53,0.488,0.275,0.272,0.353,0.463,0.695,0.021,6
48.7833,-114.9167,914,1,0.251,0.905,0.759,0.899,0.596,0.363,0.358,0.556,0.911,1,1,2
48.0167,-106.4167,631,0,0,0.385,0.734,0.415,0.414,0.311,0.277,0.364,0.469,0.392,0.001,6
45.0333,-110.7,1608,0.073,0.039,0.077,0.834,0.918,0.598,0.319,0.322,0.495,0.754,0.828,0.077,9
47.6,-110.2667,954,0,0,0.436,0.991,0.608,0.509,0.302,0.299,0.393,0.518,0.685,0.008,6
47.6,-112.75,1399,0.023,0.01,0.453,0.962,1,0.785,0.387,0.387,0.528,0.711,0.945,0.067,6
48.5667,-110.3,859,0.004,0.003,0.313,0.916,0.587,0.456,0.281,0.281,0.4,0.48,0.464,0.011,6
48.2167,-106.6167,699,0,0,0.331,0.771,0.416,0.403,0.307,0.279,0.36,0.453,0.371,0.001,6
45.4667,-112.65,1512,0,0,0.483,0.897,0.454,0.407,0.239,0.246,0.35,0.47,0.592,0.003,6
47.1,-104.7167,633,0,0,0.442,0.862,0.484,0.506,0.325,0.297,0.432,0.56,0.577,0.009,6
48.9833,-111.4,1066,0.013,0.005,0.4,0.885,0.918,0.625,0.332,0.349,0.521,0.579,0.679,0.025,6
47.0333,-108.8,1064,0,0,0.638,0.986,0.658,0.502,0.293,0.293,0.411,0.59,0.746,0.006,6
47.4667,-111.3833,1117,0,0,0.711,1,0.763,0.483,0.274,0.295,0.399,0.561,0.94,0.171,6
46.2333,-114.1667,1076,0.079,0.257,0.998,0.606,0.394,0.32,0.167,0.207,0.347,0.655,1,0.985,2
45.7333,-107.6167,885,0,0,0.815,0.999,0.629,0.413,0.196,0.217,0.457,0.703,0.973,0.106,6
48.55,-108.8667,720,0,0,0.362,0.933,0.465,0.396,0.292,0.273,0.443,0.503,0.455,0.001,6
46.4333,-109.8333,1269,0.008,0.003,0.614,0.896,0.796,0.604,0.334,0.317,0.474,0.721,0.989,0.195,6
